Season,Slot,StrongSeed,WeakSeed
1997,R2Z2,R1Z2,R1Z7
1997,R2Z3,R1Z3,R1Z6
1997,R2Z4,R1Z4,R1Z5
1997,R3W1,R2W1,R2W4
1997,R3W2,R2W2,R2W3
1997,R3X1,R2X1,R2X4
1997,R3X2,R2X2,R2X3
1997,R3Y1,R2Y1,R2Y4
1997,R3Y2,R2Y2,R2Y3
1997,R3Z1,R2Z1,R2Z4
1997,R3Z2,R2Z2,R2Z3
1997,R4W1,R3W1,R3W2
1997,R4X1,R3X1,R3X2
1997,R4Y1,R3Y1,R3Y2
1997,R4Z1,R3Z1,R3Z2
1997,R5WX,R4W1,R4X1
1997,R5YZ,R4Y1,R4Z1
1997,R6CH,R5WX,R5YZ
1998,R1W1,W01,W16
1998,R1W2,W02,W15
1998,R1W3,W03,W14
1998,R1W4,W04,W13
1998,R1W5,W05,W12
1998,R1W6,W06,W11
1998,R1W7,W07,W10
1998,R1W8,W08,W09
1998,R1X1,X01,X16
1998,R1X2,X02,X15
1998,R1X3,X03,X14
1998,R1X4,X04,X13
1998,R1X5,X05,X12
1998,R1X6,X06,X11
1998,R1X7,X07,X10
1998,R1X8,X08,X09
1998,R1Y1,Y01,Y16
1998,R1Y2,Y02,Y15
1998,R1Y3,Y03,Y14
1998,R1Y4,Y04,Y13
1998,R1Y5,Y05,Y12
1998,R1Y6,Y06,Y11
1998,R1Y7,Y07,Y10
1998,R1Y8,Y08,Y09
1998,R1Z1,Z01,Z16
1998,R1Z2,Z02,Z15
1998,R1Z3,Z03,Z14
1998,R1Z4,Z04,Z13
1998,R1Z5,Z05,Z12
1998,R1Z6,Z06,Z11
1998,R1Z7,Z07,Z10
1998,R1Z8,Z08,Z09
1998,R2W1,R1W1,R1W8
1998,R2W2,R1W2,R1W7
1998,R2W3,R1W3,R1W6
1998,R2W4,R1W4,R1W5
1998,R2X1,R1X1,R1X8
1998,R2X2,R1X2,R1X7
1998,R2X3,R1X3,R1X6
1998,R2X4,R1X4,R1X5
1998,R2Y1,R1Y1,R1Y8
1998,R2Y2,R1Y2,R1Y7
1998,R2Y3,R1Y3,R1Y6
1998,R2Y4,R1Y4,R1Y5
1998,R2Z1,R1Z1,R1Z8
1998,R2Z2,R1Z2,R1Z7
1998,R2Z3,R1Z3,R1Z6
1998,R2Z4,R1Z4,R1Z5
1998,R3W1,R2W1,R2W4
1998,R3W2,R2W2,R2W3
1998,R3X1,R2X1,R2X4
1998,R3X2,R2X2,R2X3
1998,R3Y1,R2Y1,R2Y4
1998,R3Y2,R2Y2,R2Y3
1998,R3Z1,R2Z1,R2Z4
1998,R3Z2,R2Z2,R2Z3
1998,R4W1,R3W1,R3W2
1998,R4X1,R3X1,R3X2
1998,R4Y1,R3Y1,R3Y2
1998,R4Z1,R3Z1,R3Z2
1998,R5WX,R4W1,R4X1
1998,R5YZ,R4Y1,R4Z1
1998,R6CH,R5WX,R5YZ
1999,R1W1,W01,W16
1999,R1W2,W02,W15
1999,R1W3,W03,W14
1999,R1W4,W04,W13
1999,R1W5,W05,W12
1999,R1W6,W06,W11
1999,R1W7,W07,W10
1999,R1W8,W08,W09
1999,R1X1,X01,X16
1999,R1X2,X02,X15
1999,R1X3,X03,X14
1999,R1X4,X04,X13
1999,R1X5,X05,X12
1999,R1X6,X06,X11
1999,R1X7,X07,X10
1999,R1X8,X08,X09
1999,R1Y1,Y01,Y16
1999,R1Y2,Y02,Y15
1999,R1Y3,Y03,Y14
1999,R1Y4,Y04,Y13
1999,R1Y5,Y05,Y12
1999,R1Y6,Y06,Y11
1999,R1Y7,Y07,Y10
1999,R1Y8,Y08,Y09
1999,R1Z1,Z01,Z16
1999,R1Z2,Z02,Z15
1999,R1Z3,Z03,Z14
1999,R1Z4,Z04,Z13
1999,R1Z5,Z05,Z12
1999,R1Z6,Z06,Z11
1999,R1Z7,Z07,Z10
1999,R1Z8,Z08,Z09
1999,R2W1,R1W1,R1W8
1999,R2W2,R1W2,R1W7
1999,R2W3,R1W3,R1W6
1999,R2W4,R1W4,R1W5
1999,R2X1,R1X1,R1X8
1999,R2X2,R1X2,R1X7
1999,R2X3,R1X3,R1X6
1999,R2X4,R1X4,R1X5
1999,R2Y1,R1Y1,R1Y8
1999,R2Y2,R1Y2,R1Y7
1999,R2Y3,R1Y3,R1Y6
1999,R2Y4,R1Y4,R1Y5
1999,R2Z1,R1Z1,R1Z8
1999,R2Z2,R1Z2,R1Z7
1999,R2Z3,R1Z3,R1Z6
1999,R2Z4,R1Z4,R1Z5
1999,R3W1,R2W1,R2W4
1999,R3W2,R2W2,R2W3
1999,R3X1,R2X1,R2X4
1999,R3X2,R2X2,R2X3
1999,R3Y1,R2Y1,R2Y4
1999,R3Y2,R2Y2,R2Y3
1999,R3Z1,R2Z1,R2Z4
1999,R3Z2,R2Z2,R2Z3
1999,R4W1,R3W1,R3W2
1999,R4X1,R3X1,R3X2
1999,R4Y1,R3Y1,R3Y2
1999,R4Z1,R3Z1,R3Z2
1999,R5WX,R4W1,R4X1
1999,R5YZ,R4Y1,R4Z1
1999,R6CH,R5WX,R5YZ
2000,R1W1,W01,W16
2000,R1W2,W02,W15
2000,R1W3,W03,W14
2000,R1W4,W04,W13
2000,R1W5,W05,W12
2000,R1W6,W06,W11
2000,R1W7,W07,W10
2000,R1W8,W08,W09
2000,R1X1,X01,X16
2000,R1X2,X02,X15
2000,R1X3,X03,X14
2000,R1X4,X04,X13
2000,R1X5,X05,X12
2000,R1X6,X06,X11
2000,R1X7,X07,X10
2000,R1X8,X08,X09
2000,R1Y1,Y01,Y16
2000,R1Y2,Y02,Y15
2000,R1Y3,Y03,Y14
2000,R1Y4,Y04,Y13
2000,R1Y5,Y05,Y12
2000,R1Y6,Y06,Y11
2000,R1Y7,Y07,Y10
2000,R1Y8,Y08,Y09
2000,R1Z1,Z01,Z16
2000,R1Z2,Z02,Z15
2000,R1Z3,Z03,Z14
2000,R1Z4,Z04,Z13
2000,R1Z5,Z05,Z12
2000,R1Z6,Z06,Z11
2000,R1Z7,Z07,Z10
2000,R1Z8,Z08,Z09
2000,R2W1,R1W1,R1W8
2000,R2W2,R1W2,R1W7
2000,R2W3,R1W3,R1W6
2000,R2W4,R1W4,R1W5
2000,R2X1,R1X1,R1X8
2000,R2X2,R1X2,R1X7
2000,R2X3,R1X3,R1X6
2000,R2X4,R1X4,R1X5
2000,R2Y1,R1Y1,R1Y8
2000,R2Y2,R1Y2,R1Y7
2000,R2Y3,R1Y3,R1Y6
2000,R2Y4,R1Y4,R1Y5
2000,R2Z1,R1Z1,R1Z8
2000,R2Z2,R1Z2,R1Z7
2000,R2Z3,R1Z3,R1Z6
2000,R2Z4,R1Z4,R1Z5
2000,R3W1,R2W1,R2W4
2000,R3W2,R2W2,R2W3
2000,R3X1,R2X1,R2X4
2000,R3X2,R2X2,R2X3
2000,R3Y1,R2Y1,R2Y4
2000,R3Y2,R2Y2,R2Y3
2000,R3Z1,R2Z1,R2Z4
2000,R3Z2,R2Z2,R2Z3
2000,R4W1,R3W1,R3W2
2000,R4X1,R3X1,R3X2
2000,R4Y1,R3Y1,R3Y2
2000,R4Z1,R3Z1,R3Z2
2000,R5WX,R4W1,R4X1
2000,R5YZ,R4Y1,R4Z1
2000,R6CH,R5WX,R5YZ
2001,R1W1,W01,W16
2001,R1W2,W02,W15
2001,R1W3,W03,W14
2001,R1W4,W04,W13
2001,R1W5,W05,W12
2001,R1W6,W06,W11
2001,R1W7,W07,W10
2001,R1W8,W08,W09
2001,R1X1,X01,X16
2001,R1X2,X02,X15
2001,R1X3,X03,X14
2001,R1X4,X04,X13
2001,R1X5,X05,X12
2001,R1X6,X06,X11
2001,R1X7,X07,X10
2001,R1X8,X08,X09
2001,R1Y1,Y01,Y16
2001,R1Y2,Y02,Y15
2001,R1Y3,Y03,Y14
2001,R1Y4,Y04,Y13
2001,R1Y5,Y05,Y12
2001,R1Y6,Y06,Y11
2001,R1Y7,Y07,Y10
2001,R1Y8,Y08,Y09
2001,R1Z1,Z01,Z16
2001,R1Z2,Z02,Z15
2001,R1Z3,Z03,Z14
2001,R1Z4,Z04,Z13
2001,R1Z5,Z05,Z12
2001,R1Z6,Z06,Z11
2001,R1Z7,Z07,Z10
2001,R1Z8,Z08,Z09
2001,R2W1,R1W1,R1W8
2001,R2W2,R1W2,R1W7
2001,R2W3,R1W3,R1W6
2001,R2W4,R1W4,R1W5
2001,R2X1,R1X1,R1X8
2001,R2X2,R1X2,R1X7
2001,R2X3,R1X3,R1X6
2001,R2X4,R1X4,R1X5
2001,R2Y1,R1Y1,R1Y8
2001,R2Y2,R1Y2,R1Y7
2001,R2Y3,R1Y3,R1Y6
2001,R2Y4,R1Y4,R1Y5
2001,R2Z1,R1Z1,R1Z8
2001,R2Z2,R1Z2,R1Z7
2001,R2Z3,R1Z3,R1Z6
2001,R2Z4,R1Z4,R1Z5
2001,R3W1,R2W1,R2W4
2001,R3W2,R2W2,R2W3
2001,R3X1,R2X1,R2X4
2001,R3X2,R2X2,R2X3
2001,R3Y1,R2Y1,R2Y4
2001,R3Y2,R2Y2,R2Y3
2001,R3Z1,R2Z1,R2Z4
2001,R3Z2,R2Z2,R2Z3
2001,R4W1,R3W1,R3W2
2001,R4X1,R3X1,R3X2
2001,R4Y1,R3Y1,R3Y2
2001,R4Z1,R3Z1,R3Z2
2001,R5WX,R4W1,R4X1
2001,R5YZ,R4Y1,R4Z1
2001,R6CH,R5WX,R5YZ
2001,Y16,Y16a,Y16b
2002,R1W1,W01,W16
2002,R1W2,W02,W15
2002,R1W3,W03,W14
2002,R1W4,W04,W13
2002,R1W5,W05,W12
2002,R1W6,W06,W11
2002,R1W7,W07,W10
2002,R1W8,W08,W09
2002,R1X1,X01,X16
2002,R1X2,X02,X15
2002,R1X3,X03,X14
2002,R1X4,X04,X13
2002,R1X5,X05,X12
2002,R1X6,X06,X11
2002,R1X7,X07,X10
2002,R1X8,X08,X09
2002,R1Y1,Y01,Y16
2002,R1Y2,Y02,Y15
2002,R1Y3,Y03,Y14
2002,R1Y4,Y04,Y13
2002,R1Y5,Y05,Y12
2002,R1Y6,Y06,Y11
2002,R1Y7,Y07,Y10
2002,R1Y8,Y08,Y09
2002,R1Z1,Z01,Z16
2002,R1Z2,Z02,Z15
2002,R1Z3,Z03,Z14
2002,R1Z4,Z04,Z13
2002,R1Z5,Z05,Z12
2002,R1Z6,Z06,Z11
2002,R1Z7,Z07,Z10
2002,R1Z8,Z08,Z09
2002,R2W1,R1W1,R1W8
2002,R2W2,R1W2,R1W7
2002,R2W3,R1W3,R1W6
2002,R2W4,R1W4,R1W5
2002,R2X1,R1X1,R1X8
2002,R2X2,R1X2,R1X7
2002,R2X3,R1X3,R1X6
2002,R2X4,R1X4,R1X5
2002,R2Y1,R1Y1,R1Y8
2002,R2Y2,R1Y2,R1Y7
2002,R2Y3,R1Y3,R1Y6
2002,R2Y4,R1Y4,R1Y5
2002,R2Z1,R1Z1,R1Z8
2002,R2Z2,R1Z2,R1Z7
2002,R2Z3,R1Z3,R1Z6
2002,R2Z4,R1Z4,R1Z5
2002,R3W1,R2W1,R2W4
2002,R3W2,R2W2,R2W3
2002,R3X1,R2X1,R2X4
2002,R3X2,R2X2,R2X3
2002,R3Y1,R2Y1,R2Y4
2002,R3Y2,R2Y2,R2Y3
2002,R3Z1,R2Z1,R2Z4
2002,R3Z2,R2Z2,R2Z3
2002,R4W1,R3W1,R3W2
2002,R4X1,R3X1,R3X2
2002,R4Y1,R3Y1,R3Y2
2002,R4Z1,R3Z1,R3Z2
2002,R5WX,R4W1,R4X1
2002,R5YZ,R4Y1,R4Z1
2002,R6CH,R5WX,R5YZ
2002,W16,W16a,W16b
2003,R1W1,W01,W16
2003,R1W2,W02,W15
2003,R1W3,W03,W14
2003,R1W4,W04,W13
2003,R1W5,W05,W12
2003,R1W6,W06,W11
2003,R1W7,W07,W10
2003,R1W8,W08,W09
2003,R1X1,X01,X16
2003,R1X2,X02,X15
2003,R1X3,X03,X14
2003,R1X4,X04,X13
2003,R1X5,X05,X12
2003,R1X6,X06,X11
2003,R1X7,X07,X10
2003,R1X8,X08,X09
2003,R1Y1,Y01,Y16
2003,R1Y2,Y02,Y15
2003,R1Y3,Y03,Y14
2003,R1Y4,Y04,Y13
2003,R1Y5,Y05,Y12
2003,R1Y6,Y06,Y11
2003,R1Y7,Y07,Y10
2003,R1Y8,Y08,Y09
2003,R1Z1,Z01,Z16
2003,R1Z2,Z02,Z15
2003,R1Z3,Z03,Z14
2003,R1Z4,Z04,Z13
2003,R1Z5,Z05,Z12
2003,R1Z6,Z06,Z11
2003,R1Z7,Z07,Z10
2003,R1Z8,Z08,Z09
2003,R2W1,R1W1,R1W8
2003,R2W2,R1W2,R1W7
2003,R2W3,R1W3,R1W6
2003,R2W4,R1W4,R1W5
2003,R2X1,R1X1,R1X8
2003,R2X2,R1X2,R1X7
2003,R2X3,R1X3,R1X6
2003,R2X4,R1X4,R1X5
2003,R2Y1,R1Y1,R1Y8
2003,R2Y2,R1Y2,R1Y7
2003,R2Y3,R1Y3,R1Y6
2003,R2Y4,R1Y4,R1Y5
2003,R2Z1,R1Z1,R1Z8
2003,R2Z2,R1Z2,R1Z7
2003,R2Z3,R1Z3,R1Z6
2003,R2Z4,R1Z4,R1Z5
2003,R3W1,R2W1,R2W4
2003,R3W2,R2W2,R2W3
2003,R3X1,R2X1,R2X4
2003,R3X2,R2X2,R2X3
2003,R3Y1,R2Y1,R2Y4
2003,R3Y2,R2Y2,R2Y3
2003,R3Z1,R2Z1,R2Z4
2003,R3Z2,R2Z2,R2Z3
2003,R4W1,R3W1,R3W2
2003,R4X1,R3X1,R3X2
2003,R4Y1,R3Y1,R3Y2
2003,R4Z1,R3Z1,R3Z2
2003,R5WX,R4W1,R4X1
2003,R5YZ,R4Y1,R4Z1
2003,R6CH,R5WX,R5YZ
2003,X16,X16a,X16b
2004,R1W1,W01,W16
2004,R1W2,W02,W15
2004,R1W3,W03,W14
2004,R1W4,W04,W13
2004,R1W5,W05,W12
2004,R1W6,W06,W11
2004,R1W7,W07,W10
2004,R1W8,W08,W09
2004,R1X1,X01,X16
2004,R1X2,X02,X15
2004,R1X3,X03,X14
2004,R1X4,X04,X13
2004,R1X5,X05,X12
2004,R1X6,X06,X11
2004,R1X7,X07,X10
2004,R1X8,X08,X09
2004,R1Y1,Y01,Y16
2004,R1Y2,Y02,Y15
2004,R1Y3,Y03,Y14
2004,R1Y4,Y04,Y13
2004,R1Y5,Y05,Y12
2004,R1Y6,Y06,Y11
2004,R1Y7,Y07,Y10
2004,R1Y8,Y08,Y09
2004,R1Z1,Z01,Z16
2004,R1Z2,Z02,Z15
2004,R1Z3,Z03,Z14
2004,R1Z4,Z04,Z13
2004,R1Z5,Z05,Z12
2004,R1Z6,Z06,Z11
2004,R1Z7,Z07,Z10
2004,R1Z8,Z08,Z09
2004,R2W1,R1W1,R1W8
2004,R2W2,R1W2,R1W7
2004,R2W3,R1W3,R1W6
2004,R2W4,R1W4,R1W5
2004,R2X1,R1X1,R1X8
2004,R2X2,R1X2,R1X7
2004,R2X3,R1X3,R1X6
2004,R2X4,R1X4,R1X5
2004,R2Y1,R1Y1,R1Y8
2004,R2Y2,R1Y2,R1Y7
2004,R2Y3,R1Y3,R1Y6
2004,R2Y4,R1Y4,R1Y5
2004,R2Z1,R1Z1,R1Z8
2004,R2Z2,R1Z2,R1Z7
2004,R2Z3,R1Z3,R1Z6
2004,R2Z4,R1Z4,R1Z5
2004,R3W1,R2W1,R2W4
2004,R3W2,R2W2,R2W3
2004,R3X1,R2X1,R2X4
2004,R3X2,R2X2,R2X3
2004,R3Y1,R2Y1,R2Y4
2004,R3Y2,R2Y2,R2Y3
2004,R3Z1,R2Z1,R2Z4
2004,R3Z2,R2Z2,R2Z3
2004,R4W1,R3W1,R3W2
2004,R4X1,R3X1,R3X2
2004,R4Y1,R3Y1,R3Y2
2004,R4Z1,R3Z1,R3Z2
2004,R5WX,R4W1,R4X1
2004,R5YZ,R4Y1,R4Z1
2004,R6CH,R5WX,R5YZ
2004,Z16,Z16a,Z16b
2005,R1W1,W01,W16
2005,R1W2,W02,W15
2005,R1W3,W03,W14
2005,R1W4,W04,W13
2005,R1W5,W05,W12
2005,R1W6,W06,W11
2005,R1W7,W07,W10
2005,R1W8,W08,W09
2005,R1X1,X01,X16
2005,R1X2,X02,X15
2005,R1X3,X03,X14
2005,R1X4,X04,X13
2005,R1X5,X05,X12
2005,R1X6,X06,X11
2005,R1X7,X07,X10
2005,R1X8,X08,X09
2005,R1Y1,Y01,Y16
2005,R1Y2,Y02,Y15
2005,R1Y3,Y03,Y14
2005,R1Y4,Y04,Y13
2005,R1Y5,Y05,Y12
2005,R1Y6,Y06,Y11
2005,R1Y7,Y07,Y10
2005,R1Y8,Y08,Y09
2005,R1Z1,Z01,Z16
2005,R1Z2,Z02,Z15
2005,R1Z3,Z03,Z14
2005,R1Z4,Z04,Z13
2005,R1Z5,Z05,Z12
2005,R1Z6,Z06,Z11
2005,R1Z7,Z07,Z10
2005,R1Z8,Z08,Z09
2005,R2W1,R1W1,R1W8
2005,R2W2,R1W2,R1W7
2005,R2W3,R1W3,R1W6
2005,R2W4,R1W4,R1W5
2005,R2X1,R1X1,R1X8
2005,R2X2,R1X2,R1X7
2005,R2X3,R1X3,R1X6
2005,R2X4,R1X4,R1X5
2005,R2Y1,R1Y1,R1Y8
2005,R2Y2,R1Y2,R1Y7
2005,R2Y3,R1Y3,R1Y6
2005,R2Y4,R1Y4,R1Y5
2005,R2Z1,R1Z1,R1Z8
2005,R2Z2,R1Z2,R1Z7
2005,R2Z3,R1Z3,R1Z6
2005,R2Z4,R1Z4,R1Z5
2005,R3W1,R2W1,R2W4
2005,R3W2,R2W2,R2W3
2005,R3X1,R2X1,R2X4
2005,R3X2,R2X2,R2X3
2005,R3Y1,R2Y1,R2Y4
2005,R3Y2,R2Y2,R2Y3
2005,R3Z1,R2Z1,R2Z4
2005,R3Z2,R2Z2,R2Z3
2005,R4W1,R3W1,R3W2
2005,R4X1,R3X1,R3X2
2005,R4Y1,R3Y1,R3Y2
2005,R4Z1,R3Z1,R3Z2
2005,R5WX,R4W1,R4X1
2005,R5YZ,R4Y1,R4Z1
2005,R6CH,R5WX,R5YZ
2005,Z16,Z16a,Z16b
2006,R1W1,W01,W16
2006,R1W2,W02,W15
2006,R1W3,W03,W14
2006,R1W4,W04,W13
2006,R1W5,W05,W12
2006,R1W6,W06,W11
2006,R1W7,W07,W10
2006,R1W8,W08,W09
2006,R1X1,X01,X16
2006,R1X2,X02,X15
2006,R1X3,X03,X14
2006,R1X4,X04,X13
2006,R1X5,X05,X12
2006,R1X6,X06,X11
2006,R1X7,X07,X10
2006,R1X8,X08,X09
2006,R1Y1,Y01,Y16
2006,R1Y2,Y02,Y15
2006,R1Y3,Y03,Y14
2006,R1Y4,Y04,Y13
2006,R1Y5,Y05,Y12
2006,R1Y6,Y06,Y11
2006,R1Y7,Y07,Y10
2006,R1Y8,Y08,Y09
2006,R1Z1,Z01,Z16
2006,R1Z2,Z02,Z15
2006,R1Z3,Z03,Z14
2006,R1Z4,Z04,Z13
2006,R1Z5,Z05,Z12
2006,R1Z6,Z06,Z11
2006,R1Z7,Z07,Z10
2006,R1Z8,Z08,Z09
2006,R2W1,R1W1,R1W8
2006,R2W2,R1W2,R1W7
2006,R2W3,R1W3,R1W6
2006,R2W4,R1W4,R1W5
2006,R2X1,R1X1,R1X8
2006,R2X2,R1X2,R1X7
2006,R2X3,R1X3,R1X6
2006,R2X4,R1X4,R1X5
2006,R2Y1,R1Y1,R1Y8
2006,R2Y2,R1Y2,R1Y7
2006,R2Y3,R1Y3,R1Y6
2006,R2Y4,R1Y4,R1Y5
2006,R2Z1,R1Z1,R1Z8
2006,R2Z2,R1Z2,R1Z7
2006,R2Z3,R1Z3,R1Z6
2006,R2Z4,R1Z4,R1Z5
2006,R3W1,R2W1,R2W4
2006,R3W2,R2W2,R2W3
2006,R3X1,R2X1,R2X4
2006,R3X2,R2X2,R2X3
2006,R3Y1,R2Y1,R2Y4
2006,R3Y2,R2Y2,R2Y3
2006,R3Z1,R2Z1,R2Z4
2006,R3Z2,R2Z2,R2Z3
2006,R4W1,R3W1,R3W2
2006,R4X1,R3X1,R3X2
2006,R4Y1,R3Y1,R3Y2
2006,R4Z1,R3Z1,R3Z2
2006,R5WX,R4W1,R4X1
2006,R5YZ,R4Y1,R4Z1
2006,R6CH,R5WX,R5YZ
2006,Y16,Y16a,Y16b
2007,R1W1,W01,W16
2007,R1W2,W02,W15
2007,R1W3,W03,W14
2007,R1W4,W04,W13
2007,R1W5,W05,W12
2007,R1W6,W06,W11
2007,R1W7,W07,W10
2007,R1W8,W08,W09
2007,R1X1,X01,X16
2007,R1X2,X02,X15
2007,R1X3,X03,X14
2007,R1X4,X04,X13
2007,R1X5,X05,X12
2007,R1X6,X06,X11
2007,R1X7,X07,X10
2007,R1X8,X08,X09
2007,R1Y1,Y01,Y16
2007,R1Y2,Y02,Y15
2007,R1Y3,Y03,Y14
2007,R1Y4,Y04,Y13
2007,R1Y5,Y05,Y12
2007,R1Y6,Y06,Y11
2007,R1Y7,Y07,Y10
2007,R1Y8,Y08,Y09
2007,R1Z1,Z01,Z16
2007,R1Z2,Z02,Z15
2007,R1Z3,Z03,Z14
2007,R1Z4,Z04,Z13
2007,R1Z5,Z05,Z12
2007,R1Z6,Z06,Z11
2007,R1Z7,Z07,Z10
2007,R1Z8,Z08,Z09
2007,R2W1,R1W1,R1W8
2007,R2W2,R1W2,R1W7
2007,R2W3,R1W3,R1W6
2007,R2W4,R1W4,R1W5
2007,R2X1,R1X1,R1X8
2007,R2X2,R1X2,R1X7
2007,R2X3,R1X3,R1X6
2007,R2X4,R1X4,R1X5
2007,R2Y1,R1Y1,R1Y8
2007,R2Y2,R1Y2,R1Y7
2007,R2Y3,R1Y3,R1Y6
2007,R2Y4,R1Y4,R1Y5
2007,R2Z1,R1Z1,R1Z8
2007,R2Z2,R1Z2,R1Z7
2007,R2Z3,R1Z3,R1Z6
2007,R2Z4,R1Z4,R1Z5
2007,R3W1,R2W1,R2W4
2007,R3W2,R2W2,R2W3
2007,R3X1,R2X1,R2X4
2007,R3X2,R2X2,R2X3
2007,R3Y1,R2Y1,R2Y4
2007,R3Y2,R2Y2,R2Y3
2007,R3Z1,R2Z1,R2Z4
2007,R3Z2,R2Z2,R2Z3
2007,R4W1,R3W1,R3W2
2007,R4X1,R3X1,R3X2
2007,R4Y1,R3Y1,R3Y2
2007,R4Z1,R3Z1,R3Z2
2007,R5WX,R4W1,R4X1
2007,R5YZ,R4Y1,R4Z1
2007,R6CH,R5WX,R5YZ
2007,Z16,Z16a,Z16b
2008,R1W1,W01,W16
2008,R1W2,W02,W15
2008,R1W3,W03,W14
2008,R1W4,W04,W13
2008,R1W5,W05,W12
2008,R1W6,W06,W11
2008,R1W7,W07,W10
2008,R1W8,W08,W09
2008,R1X1,X01,X16
2008,R1X2,X02,X15
2008,R1X3,X03,X14
2008,R1X4,X04,X13
2008,R1X5,X05,X12
2008,R1X6,X06,X11
2008,R1X7,X07,X10
2008,R1X8,X08,X09
2008,R1Y1,Y01,Y16
2008,R1Y2,Y02,Y15
2008,R1Y3,Y03,Y14
2008,R1Y4,Y04,Y13
2008,R1Y5,Y05,Y12
2008,R1Y6,Y06,Y11
2008,R1Y7,Y07,Y10
2008,R1Y8,Y08,Y09
2008,R1Z1,Z01,Z16
2008,R1Z2,Z02,Z15
2008,R1Z3,Z03,Z14
2008,R1Z4,Z04,Z13
2008,R1Z5,Z05,Z12
2008,R1Z6,Z06,Z11
2008,R1Z7,Z07,Z10
2008,R1Z8,Z08,Z09
2008,R2W1,R1W1,R1W8
2008,R2W2,R1W2,R1W7
2008,R2W3,R1W3,R1W6
2008,R2W4,R1W4,R1W5
2008,R2X1,R1X1,R1X8
2008,R2X2,R1X2,R1X7
2008,R2X3,R1X3,R1X6
2008,R2X4,R1X4,R1X5
2008,R2Y1,R1Y1,R1Y8
2008,R2Y2,R1Y2,R1Y7
2008,R2Y3,R1Y3,R1Y6
2008,R2Y4,R1Y4,R1Y5
2008,R2Z1,R1Z1,R1Z8
2008,R2Z2,R1Z2,R1Z7
2008,R2Z3,R1Z3,R1Z6
2008,R2Z4,R1Z4,R1Z5
2008,R3W1,R2W1,R2W4
2008,R3W2,R2W2,R2W3
2008,R3X1,R2X1,R2X4
2008,R3X2,R2X2,R2X3
2008,R3Y1,R2Y1,R2Y4
2008,R3Y2,R2Y2,R2Y3
2008,R3Z1,R2Z1,R2Z4
2008,R3Z2,R2Z2,R2Z3
2008,R4W1,R3W1,R3W2
2008,R4X1,R3X1,R3X2
2008,R4Y1,R3Y1,R3Y2
2008,R4Z1,R3Z1,R3Z2
2008,R5WX,R4W1,R4X1
2008,R5YZ,R4Y1,R4Z1
2008,R6CH,R5WX,R5YZ
2008,W16,W16a,W16b
2009,R1W1,W01,W16
2009,R1W2,W02,W15
2009,R1W3,W03,W14
2009,R1W4,W04,W13
2009,R1W5,W05,W12
2009,R1W6,W06,W11
2009,R1W7,W07,W10
2009,R1W8,W08,W09
2009,R1X1,X01,X16
2009,R1X2,X02,X15
2009,R1X3,X03,X14
2009,R1X4,X04,X13
2009,R1X5,X05,X12
2009,R1X6,X06,X11
2009,R1X7,X07,X10
2009,R1X8,X08,X09
2009,R1Y1,Y01,Y16
2009,R1Y2,Y02,Y15
2009,R1Y3,Y03,Y14
2009,R1Y4,Y04,Y13
2009,R1Y5,Y05,Y12
2009,R1Y6,Y06,Y11
2009,R1Y7,Y07,Y10
2009,R1Y8,Y08,Y09
2009,R1Z1,Z01,Z16
2009,R1Z2,Z02,Z15
2009,R1Z3,Z03,Z14
2009,R1Z4,Z04,Z13
2009,R1Z5,Z05,Z12
2009,R1Z6,Z06,Z11
2009,R1Z7,Z07,Z10
2009,R1Z8,Z08,Z09
2009,R2W1,R1W1,R1W8
2009,R2W2,R1W2,R1W7
2009,R2W3,R1W3,R1W6
2009,R2W4,R1W4,R1W5
2009,R2X1,R1X1,R1X8
2009,R2X2,R1X2,R1X7
2009,R2X3,R1X3,R1X6
2009,R2X4,R1X4,R1X5
2009,R2Y1,R1Y1,R1Y8
2009,R2Y2,R1Y2,R1Y7
2009,R2Y3,R1Y3,R1Y6
2009,R2Y4,R1Y4,R1Y5
2009,R2Z1,R1Z1,R1Z8
2009,R2Z2,R1Z2,R1Z7
2009,R2Z3,R1Z3,R1Z6
2009,R2Z4,R1Z4,R1Z5
2009,R3W1,R2W1,R2W4
2009,R3W2,R2W2,R2W3
2009,R3X1,R2X1,R2X4
2009,R3X2,R2X2,R2X3
2009,R3Y1,R2Y1,R2Y4
2009,R3Y2,R2Y2,R2Y3
2009,R3Z1,R2Z1,R2Z4
2009,R3Z2,R2Z2,R2Z3
2009,R4W1,R3W1,R3W2
2009,R4X1,R3X1,R3X2
2009,R4Y1,R3Y1,R3Y2
2009,R4Z1,R3Z1,R3Z2
2009,R5WX,R4W1,R4X1
2009,R5YZ,R4Y1,R4Z1
2009,R6CH,R5WX,R5YZ
2009,Y16,Y16a,Y16b
2010,R1W1,W01,W16
2010,R1W2,W02,W15
2010,R1W3,W03,W14
2010,R1W4,W04,W13
2010,R1W5,W05,W12
2010,R1W6,W06,W11
2010,R1W7,W07,W10
2010,R1W8,W08,W09
2010,R1X1,X01,X16
2010,R1X2,X02,X15
2010,R1X3,X03,X14
2010,R1X4,X04,X13
2010,R1X5,X05,X12
2010,R1X6,X06,X11
2010,R1X7,X07,X10
2010,R1X8,X08,X09
2010,R1Y1,Y01,Y16
2010,R1Y2,Y02,Y15
2010,R1Y3,Y03,Y14
